"OTU"	"LogMaxMean"	"Class"	"LDA"	"LDA.abs"	"pValue"	"phylum"	"family"	"family2"
"104"	"Otu0217"	2.92925	"n12"	2.66808	-2.66808	0.0366275	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_UCG-014"
"105"	"Otu0225"	2.49272	"n12"	2.16421	-2.16421	0.011164	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
"106"	"Otu0233"	3.08864	"n12"	2.76105	-2.76105	0.011164	"Firmicutes"	"Butyricicoccus"	"Butyricicoccus"
"107"	"Otu0236"	2.61672	"n12"	2.27213	-2.27213	0.011164	"Actinobacteria"	"Eggerthella"	"Eggerthella"
"108"	"Otu0245"	2.68753	"n12"	2.37491	-2.37491	0.0220436	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_unclassified"
"109"	"Otu0253"	2.6837	"n12"	2.36401	-2.36401	0.011164	"Tenericutes"	"Mollicutes_unclassified"	"Mollicutes_RF9_ge"
"110"	"Otu0254"	2.63754	"n12"	2.3307	-2.3307	0.011164	"Verrucomicrobia"	"Verrucomicrobiaceae_unclassified"	"Verrucomicrobiaceae_unclassified"
"111"	"Otu0265"	2.65849	"n12"	2.35733	-2.35733	0.011164	"Firmicutes"	"Lactobacillus"	"Lactobacillus"
"112"	"Otu0318"	2.68085	"n12"	2.39701	-2.39701	0.0366275	"Firmicutes"	"Ruminococcaceae_unclassified"	"Ruminococcaceae_UCG-014"
"113"	"Otu0356"	2.6874	"n12"	2.2691	-2.2691	0.0366275	"Firmicutes"	"Lachnospiraceae_unclassified"	"Lachnospiraceae_unclassified"
